24-01-2023 13:04:40.538;StatusLog;AC; NORMAL_OP; TV_ON; 0; 1; M: 0 | F: 0; 
24-01-2023 13:14:39.559;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 1; M: 0 | F: 0; 
24-01-2023 13:19:40.072;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 1; M: 0 | F: 0; 
24-01-2023 13:24:40.149;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 1; M: 0 | F: 0; 
24-01-2023 13:29:40.228;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 1; M: 0 | F: 0; 
24-01-2023 13:34:40.305;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 1; M: 0 | F: 0; 
24-01-2023 13:39:40.383;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 1; M: 0 | F: 0; 
24-01-2023 13:42:11.949;StatusLog;AC; NORMAL_OP; TV_ON; 0; 1; M: 0 | F: 0; 
24-01-2023 14:14:11.889;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 1; M: 0 | F: 0; 
24-01-2023 14:14:19.695;StatusLog;AC; NORMAL_OP; TV_ON; 0; 1; M: 0 | F: 0; 
24-01-2023 14:14:43.690;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 1; M: 0 | F: 0; 
24-01-2023 14:14:55.729;StatusLog;AC; NORMAL_OP; TV_ON; 0; 1; M: 0 | F: 0; 
24-01-2023 14:15:15.589;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 1; M: 0 | F: 0; 
24-01-2023 14:15:19.555;StatusLog;AC; NORMAL_OP; TV_ON; 0; 1; M: 0 | F: 0; 
24-01-2023 14:43:27.797;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 1; M: 0 | F: 0; 
24-01-2023 14:43:31.958;StatusLog;AC; NORMAL_OP; TV_ON; 0; 1; M: 0 | F: 0; 
24-01-2023 14:45:35.616;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 1; M: 0 | F: 0; 
24-01-2023 14:47:23.431;StatusLog;AC; NORMAL_OP; TV_ON; 0; 1; M: 0 | F: 0; 
24-01-2023 16:01:51.679;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 1; M: 0 | F: 0; 
24-01-2023 16:02:11.618;StatusLog;AC; NORMAL_OP; TV_ON; 0; 1; M: 0 | F: 0; 
24-01-2023 16:19:15.800;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 1; M: 0 | F: 0; 
24-01-2023 16:19:15.973;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 16:24:15.169;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 16:29:15.190;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 16:34:15.212;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 16:39:15.234;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 16:44:15.249;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 16:49:15.270;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 16:54:15.291;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 16:59:15.314;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 17:04:15.333;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
