21-01-2023 00:36:50.154;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:36:54.162;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:36:58.175;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:37:02.189;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:37:06.204;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:37:10.218;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:37:14.231;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:37:18.245;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:37:22.259;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:37:26.273;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:37:30.288;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:37:34.301;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:37:38.315;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:37:42.329;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:37:46.345;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:37:50.360;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:37:54.374;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:37:58.388;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:38:02.402;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:38:06.417;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:38:10.432;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:38:14.445;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:38:18.461;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:38:22.475;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:38:26.489;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:38:30.504;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:38:34.518;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:38:38.532;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:38:42.545;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:38:46.559;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:38:50.572;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:38:54.586;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:38:58.602;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:39:02.616;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:39:06.630;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:39:10.644;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:39:14.659;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:39:18.667;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:39:22.682;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:39:26.689;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:39:30.701;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:39:34.715;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:39:38.726;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:39:42.739;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:39:46.750;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:39:50.764;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:39:54.778;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:39:58.792;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:40:02.806;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:40:06.821;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:40:10.837;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:40:14.851;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:40:18.866;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:40:22.880;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:40:26.891;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:40:30.906;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:40:34.920;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:40:38.934;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:40:42.948;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:40:46.961;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:40:50.975;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:40:54.991;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:40:59.004;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:41:03.018;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:41:07.031;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:41:11.046;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:41:15.057;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:41:19.070;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:41:23.084;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:41:27.099;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:41:31.112;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:41:35.127;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:41:39.141;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:41:43.155;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:41:47.170;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:41:51.185;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:41:55.194;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:41:59.209;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:42:03.221;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:42:07.235;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:42:11.248;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:42:15.262;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:42:19.271;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:42:23.286;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:42:27.300;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:42:31.313;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:42:35.327;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:42:39.341;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:42:43.356;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:42:47.367;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:42:51.381;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:42:55.394;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:42:59.408;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:43:03.417;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:43:07.432;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:43:11.446;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:43:15.461;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:43:19.475;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:43:23.483;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:43:27.494;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:43:31.501;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:43:35.515;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:43:39.529;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:43:43.541;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:43:47.555;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:43:51.564;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:43:55.578;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:43:59.591;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:44:03.606;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:44:07.621;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:44:11.635;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:44:15.647;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:44:19.661;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:44:23.676;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:44:27.690;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:44:31.709;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:44:35.721;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:44:39.736;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:44:43.750;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:44:47.763;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:44:51.779;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:44:55.791;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:44:59.809;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:45:03.825;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:45:07.838;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:45:11.851;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:45:15.866;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:45:19.880;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:45:23.894;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:45:27.908;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:45:31.920;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:45:35.934;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:45:39.946;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:45:43.961;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:45:47.975;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:45:51.990;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
