19-01-2023 00:12:52.042;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:12:56.057;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:13:00.067;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:13:04.080;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:13:08.090;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:13:12.106;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:13:16.113;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:13:20.122;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:13:24.133;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:13:28.141;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:13:32.155;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:13:36.170;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:13:40.178;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:13:44.192;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:13:48.206;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:13:52.220;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:13:56.234;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:14:00.249;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:14:04.260;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:14:08.275;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:14:12.289;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:14:16.303;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:14:20.317;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:14:24.324;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:14:28.338;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:14:32.369;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:14:36.380;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:14:40.390;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:14:44.404;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:14:48.418;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:14:52.431;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:14:56.446;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:15:00.455;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:15:04.469;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:15:08.482;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:15:12.496;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:15:16.503;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:15:20.518;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:15:24.530;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:15:28.545;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:15:32.559;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:15:36.574;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:15:40.589;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:15:44.604;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:15:48.614;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:15:52.629;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:15:56.644;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:16:00.659;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:16:04.671;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:16:08.686;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:16:12.701;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:16:16.712;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:16:20.727;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:16:24.738;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:16:28.752;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:16:32.765;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:16:36.779;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:16:40.792;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:16:44.801;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:16:48.813;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:16:52.828;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:16:56.842;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:17:00.856;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:17:04.870;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:17:08.884;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:17:12.898;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:17:16.912;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:17:20.927;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:17:24.940;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:17:28.954;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:17:32.969;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:17:36.985;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:17:40.998;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:17:45.010;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:17:49.024;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:17:53.037;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:17:57.051;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:18:01.065;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:18:05.080;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:18:09.094;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:18:13.110;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:18:17.124;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:18:21.137;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:18:25.145;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:18:29.160;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:18:33.175;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:18:37.189;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
