23-01-2023 00:47:10.219;LAMLog;0; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
23-01-2023 00:47:14.235;LAMLog;0; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
23-01-2023 00:47:18.249;LAMLog;0; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
23-01-2023 00:47:22.262;LAMLog;0; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
23-01-2023 00:47:26.275;LAMLog;0; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
23-01-2023 00:47:30.289;LAMLog;0; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
23-01-2023 00:47:34.305;LAMLog;0; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
23-01-2023 00:47:38.318;LAMLog;0; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
23-01-2023 00:47:42.332;LAMLog;0; -; -; -; BOTH SILENCE; -; -; BOTH SILENCE; 
23-01-2023 00:47:46.346;LAMLog;0; -; -; -; BOTH SILENCE; -; -; BOTH SILENCE; 
23-01-2023 00:47:50.361;LAMLog;0; -; -; -; BOTH SILENCE; -; -; BOTH SILENCE; 
23-01-2023 00:47:54.376;LAMLog;0; -; -; -; BOTH SILENCE; -; -; BOTH SILENCE; 
23-01-2023 00:47:58.390;LAMLog;0; -; -; -; BOTH SILENCE; -; -; BOTH SILENCE; 
23-01-2023 00:48:02.404;LAMLog;0; -; -; -; BOTH SILENCE; -; -; BOTH SILENCE; 
23-01-2023 00:48:06.418;LAMLog;0; -; -; -; BOTH SILENCE; -; -; BOTH SILENCE; 
23-01-2023 00:48:10.431;LAMLog;0; -; -; -; BOTH SILENCE; -; -; BOTH SILENCE; 
23-01-2023 00:48:14.446;LAMLog;0; -; -; -; BOTH SILENCE; -; -; BOTH SILENCE; 
23-01-2023 00:48:18.460;LAMLog;0; -; -; -; BOTH SILENCE; -; -; BOTH SILENCE; 
23-01-2023 00:48:22.475;LAMLog;0; -; -; -; BOTH SILENCE; -; -; BOTH SILENCE; 
23-01-2023 00:48:26.490;LAMLog;0; -; -; -; BOTH SILENCE; -; -; BOTH SILENCE; 
23-01-2023 00:48:30.505;LAMLog;0; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
23-01-2023 00:48:34.520;LAMLog;0; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
