27-01-2023 08:41:23.303;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 08:46:23.317;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 08:51:23.336;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 08:56:23.357;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 09:01:23.381;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 09:06:23.402;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 09:11:23.421;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 09:16:23.437;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 09:21:23.459;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 09:26:23.485;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 09:31:23.510;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 09:36:23.526;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 09:41:23.548;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 09:46:23.569;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 09:48:05.925;StatusLog;BATTERY; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 13:37:14.530;StatusLog;AC; OS_RST; TV_OFF; 0; -; -; 
27-01-2023 13:38:29.726;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 13:53:26.269;StatusLog;AC; OS_RST; TV_OFF; 0; -; -; 
27-01-2023 13:54:01.142;StatusLog;AC; NORMAL_OP; TV_ON; 0; -; M: 0 | F: 0; 
27-01-2023 13:54:53.082;StatusLog;AC; NORMAL_OP; TV_ON; 0; 1; M: 0 | F: 0; 
27-01-2023 14:10:19.266;StatusLog;AC; NORMAL_OP; TV_ON; 0; 1; M: 0 | F: 0; 
27-01-2023 14:10:29.173;StatusLog;AC; NORMAL_OP; TV_ON; 4; 1; M: 0 | F: 0; 
27-01-2023 14:53:15.231;StatusLog;AC; OS_RST; TV_OFF; 0; -; -; 
27-01-2023 14:53:43.241;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 14:58:43.141;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 14:58:43.169;StatusLog;AC; APP_RST; TV_OFF; 0; -; -; 
27-01-2023 15:00:27.143;StatusLog;AC; OS_RST; TV_OFF; 0; -; -; 
27-01-2023 15:00:55.232;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 15:07:22.369;StatusLog;AC; OS_RST; TV_OFF; 0; -; -; 
27-01-2023 15:07:50.435;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 15:12:50.340;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 15:12:50.367;StatusLog;AC; APP_RST; TV_OFF; 0; -; -; 
27-01-2023 15:14:32.247;StatusLog;AC; OS_RST; TV_OFF; 0; -; -; 
27-01-2023 15:15:11.319;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 15:20:11.223;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 15:25:11.246;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 15:30:11.273;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
