03-03-2023 09:00:06.273;StatusLog;USB; NORMAL_OP; TV_ON; 0; 1; M: 0 | F: 0; 
03-03-2023 09:00:17.914;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 09:01:09.075;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; 1; M: 0 | F: 0; 
03-03-2023 09:01:09.736;StatusLog;USB; NORMAL_OP; TV_ON; 0; 1; M: 0 | F: 0; 
03-03-2023 09:01:17.278;StatusLog;USB; NORMAL_OP; TV_ON; 0; 1,2; M: 0 | F: 0; 
03-03-2023 09:01:21.270;StatusLog;USB; NORMAL_OP; TV_ON; 0; 1,2,3; M: 0 | F: 0; 
03-03-2023 09:01:26.513;StatusLog;USB; NORMAL_OP; TV_ON; 0; 1,2,3,4; M: 0 | F: 0; 
03-03-2023 09:01:31.638;StatusLog;USB; NORMAL_OP; TV_ON; 0; 1,2,3,4,5; M: 0 | F: 0; 
03-03-2023 09:01:36.704;StatusLog;USB; NORMAL_OP; TV_ON; 0; 1,2,3,4,5,6; M: 0 | F: 0; 
03-03-2023 09:01:41.766;StatusLog;USB; NORMAL_OP; TV_ON; 0; 1,2,3,4,5,6,7; M: 0 | F: 0; 
03-03-2023 09:01:46.236;StatusLog;USB; NORMAL_OP; TV_ON; 0; 1,2,3,4,5,6,7,8; M: 0 | F: 0; 
03-03-2023 09:01:57.528;StatusLog;USB; NORMAL_OP; TV_ON; 0; 1,2,3,4,5,6,7,8; M: 1 | F: 0; 
03-03-2023 09:02:02.966;StatusLog;USB; NORMAL_OP; TV_ON; 0; 1,2,3,4,5,6,7,8; M: 2 | F: 0; 
03-03-2023 14:00:26.030;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 14:05:25.931;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 14:10:25.945;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 14:15:25.966;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 14:20:25.984;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 14:25:26.004;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 14:30:26.026;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 14:35:26.046;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 14:40:26.066;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 14:45:26.087;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 14:50:26.108;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 14:55:26.130;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 15:00:06.126;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; -; M: 0 | F: 0; 
03-03-2023 15:00:08.265;StatusLog;USB; NORMAL_OP; TV_ON; 0; -; M: 0 | F: 0; 
03-03-2023 15:00:16.427;StatusLog;USB; NORMAL_OP; TV_ON; 0; 1; M: 0 | F: 0; 
03-03-2023 15:01:01.792;StatusLog;USB; NORMAL_OP; TV_ON; 0; 1,2; M: 0 | F: 0; 
03-03-2023 15:02:00.823;StatusLog;USB; NORMAL_OP; TV_ON; 0; 1,2,3; M: 0 | F: 0; 
03-03-2023 15:03:00.914;StatusLog;USB; NORMAL_OP; TV_ON; 0; 1,2,3,4; M: 0 | F: 0; 
03-03-2023 15:04:01.009;StatusLog;USB; NORMAL_OP; TV_ON; 0; 1,2,3,4,5; M: 0 | F: 0; 
03-03-2023 15:05:00.948;StatusLog;USB; NORMAL_OP; TV_ON; 0; 1,2,3,4,5,6; M: 0 | F: 0; 
03-03-2023 15:06:01.103;StatusLog;USB; NORMAL_OP; TV_ON; 0; 1,2,3,4,5,6,7; M: 0 | F: 0; 
03-03-2023 15:07:01.181;StatusLog;USB; NORMAL_OP; TV_ON; 0; 1,2,3,4,5,6,7,8; M: 0 | F: 0; 
03-03-2023 15:08:02.704;StatusLog;USB; NORMAL_OP; TV_ON; 0; 1,2,3,4,5,6,7,8; M: 1 | F: 0; 
03-03-2023 15:09:03.551;StatusLog;USB; NORMAL_OP; TV_ON; 0; 1,2,3,4,5,6,7,8; M: 2 | F: 0; 
03-03-2023 15:15:08.400;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 15:20:06.496;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 15:20:06.612;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; -; M: 0 | F: 0; 
03-03-2023 15:20:08.316;StatusLog;USB; NORMAL_OP; TV_ON; 0; -; M: 0 | F: 0; 
03-03-2023 15:20:15.775;StatusLog;USB; NORMAL_OP; TV_ON; 0; 1; M: 0 | F: 0; 
03-03-2023 15:21:00.717;StatusLog;USB; NORMAL_OP; TV_ON; 0; 1,2; M: 0 | F: 0; 
03-03-2023 15:22:02.161;StatusLog;USB; NORMAL_OP; TV_ON; 0; 1,2,3; M: 0 | F: 0; 
03-03-2023 15:23:08.397;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 15:28:07.796;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 15:30:07.629;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; -; M: 0 | F: 0; 
03-03-2023 15:30:08.228;StatusLog;USB; NORMAL_OP; TV_ON; 0; -; M: 0 | F: 0; 
03-03-2023 15:30:19.762;StatusLog;USB; NORMAL_OP; TV_ON; 0; 99; M: 0 | F: 0; 
03-03-2023 15:35:02.162;StatusLog;USB; NORMAL_OP; TV_ON; 0; 1; M: 0 | F: 0; 
03-03-2023 15:40:08.419;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 15:45:07.931;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 15:50:07.946;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 15:55:07.961;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 16:00:03.882;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; -; M: 0 | F: 0; 
03-03-2023 16:00:08.242;StatusLog;USB; NORMAL_OP; TV_ON; 0; -; M: 0 | F: 0; 
03-03-2023 16:00:11.366;StatusLog;USB; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
03-03-2023 16:01:06.135;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 16:02:08.285;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
03-03-2023 16:02:12.682;StatusLog;USB; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
03-03-2023 16:03:04.851;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 16:04:07.006;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
