27-02-2023 10:18:43.421;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 10:23:43.444;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 10:28:43.465;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 10:33:43.487;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 10:38:43.508;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 10:43:43.527;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 10:48:43.548;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 10:53:43.570;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 10:58:43.588;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 11:03:43.609;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 11:08:43.630;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 11:13:43.651;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 11:18:43.672;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 11:23:43.693;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 11:28:43.715;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 11:33:43.735;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 11:38:43.767;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 11:43:43.780;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 11:48:43.801;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 11:53:43.821;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 11:58:43.843;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
